,-116,-112,-108,-104,-100,-96,-92,-88,-84,-80,-76,-72,-68,-64,-60,-56,-52,-48,-44,-40,-36,-32,-28,-24,-20,-16,-12,-8,-4,0,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21E-05,2.41E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176,0.00012055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00091135,0.0011886,2.41E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69E-05,0.0022446,0.0030788,2.41E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41E-06,0,0,4.82E-06,6.03E-05,0.0038455,0.006418,2.89E-05,0,0,0,0,0,0,2.41E-06,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41E-06,0,0,0.00010126,0.0048075,0.0093932,0.00012537,4.82E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41E-06,1.93E-05,0.00018323,0.0058804,0.011679,0.00048461,4.82E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41E-06,0,0,0,2.41E-06,0,2.41E-06,1.93E-05,0.00027485,0.0066688,0.012419,0.00077633,1.69E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41E-06,0,0,0,0,0,4.82E-06,4.58E-05,0.00035682,0.0073824,0.012834,0.00088724,8.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23E-06,4.34E-05,0.00040987,0.0081804,0.012894,0.0010464,8.92E-05,4.82E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41E-06,1.45E-05,6.75E-05,0.00044844,0.0086626,0.01327,0.0011862,0.00013743,9.64E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82E-06,2.65E-05,6.27E-05,0.0006365,0.0091569,0.012636,0.0013526,0.00012055,1.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82E-06,1.21E-05,2.17E-05,0.00012537,0.00061721,0.0096969,0.01239,0.0015985,0.00012778,1.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41E-06,0,0,4.82E-06,7.23E-06,9.64E-06,3.62E-05,0.00015189,0.00084384,0.0099019,0.012175,0.0016178,0.0001543,3.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23E-06,1.93E-05,1.21E-05,3.13E-05,0.0002411,0.00096921,0.01042,0.01212,0.0017817,0.00019047,2.65E-05,2.41E-06,2.41E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41E-06,0,0,0,0,9.64E-06,1.93E-05,2.17E-05,3.38E-05,0.00029655,0.0010464,0.010599,0.01198,0.0017672,0.00022181,2.89E-05,2.41E-06,4.82E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41E-06,4.82E-06,4.82E-06,1.93E-05,1.69E-05,6.03E-05,0.00031102,0.0011235,0.0107,0.011288,0.0017865,0.00025556,2.17E-05,7.23E-06,2.41E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82E-06,9.64E-06,2.41E-06,4.82E-06,1.69E-05,2.41E-05,6.03E-05,0.00034959,0.0012489,0.011088,0.011021,0.0018082,0.00024833,2.17E-05,2.41E-06,4.82E-06,4.82E-06,0,2.41E-06,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82E-06,9.64E-06,2.41E-06,1.45E-05,1.45E-05,3.38E-05,6.27E-05,0.00040504,0.0015744,0.01143,0.010917,0.0017311,0.00035924,3.62E-05,9.64E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41E-06,0,0,4.82E-06,2.41E-06,7.23E-06,2.41E-06,1.69E-05,1.93E-05,2.65E-05,6.99E-05,0.00051595,0.0016154,0.011655,0.010736,0.0018251,0.00029173,3.13E-05,9.64E-06,0,0,0,0,0,0,0,2.41E-06,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82E-06,7.23E-06,4.82E-06,1.21E-05,2.41E-05,0.00010367,0.00059551,0.0018082,0.011385,0.010324,0.0018227,0.00035441,2.17E-05,4.82E-06,7.23E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41E-06,0,9.64E-06,7.23E-06,1.45E-05,9.64E-06,1.45E-05,3.62E-05,0.00015912,0.00067025,0.0020445,0.011821,0.0098271,0.0016997,0.00033513,6.03E-05,9.64E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
